Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
ALKA,Alakasa Industrindo Tbk,1990-07-12,507665055.0,Pengembangan,Basic Materials,600,304599033000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
ALMI,Alumindo Light Metal Industry ,1997-01-02,3816000000.0,Pengembangan,Basic Materials,292,1114272000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
ALTO,Tri Banyan Tirta Tbk.,2012-07-10,2191870558.0,Utama,Consumer Non-Cyclicals,50,109593527900.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2012-07-10,2023-01-06
AMAG,Asuransi Multi Artha Guna Tbk.,2005-12-23,5001552516.0,Pengembangan,Financials,358,1790555800728.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2005-12-23,2023-01-06
AMAN,Makmur Berkah Amanda Tbk.,2020-03-13,3873500000.0,Utama,Properties & Real Estate,710,2750185000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2020-03-13,2023-01-06
AMAR,Bank Amar Indonesia Tbk.,2020-01-09,13681871000.0,Pengembangan,Financials,224,3064739104000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2020-01-09,2023-01-06
AMFG,Asahimas Flat Glass Tbk.,1995-11-08,434000000.0,Utama,Industrials,5250,2278500000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
AMIN,Ateliers Mecaniques D Indonesi,2015-12-10,1080000000.0,Pengembangan,Industrials,171,184680000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2015-12-10,2023-01-06
AMMS,Agung Menjangan Mas Tbk.,2022-08-04,1200000000.0,Akselerasi,Consumer Non-Cyclicals,41,49200000000.0,2022-08-04 09:00:00,2023-01-06 15:59:00,2022-08-04 09:00:00,2023-01-06 15:00:00,2022-08-04,2023-01-06
AMOR,Ashmore Asset Management Indon,2020-01-14,2222222400.0,Pengembangan,Financials,1320,2933333568000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2020-01-14,2023-01-06
AMRT,Sumber Alfaria Trijaya Tbk.,2009-01-15,41524501700.0,Utama,Consumer Non-Cyclicals,2800,116268604760000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2009-01-15,2023-01-06
ANDI,Andira Agro Tbk.,2018-08-16,9350000000.0,Pengembangan,Consumer Non-Cyclicals,50,467500000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2018-08-16,2023-01-06
ANJT,Austindo Nusantara Jaya Tbk.,2013-05-08,3354175000.0,Utama,Consumer Non-Cyclicals,645,2163442875000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2013-05-08,2023-01-06
ANTM,Aneka Tambang Tbk.,1997-11-27,24030764725.0,Utama,Basic Materials,1985,47701067979125.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
APEX,Apexindo Pratama Duta Tbk.,2013-06-05,2796804997.0,Pengembangan,Energy,252,704794859244.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2013-06-05,2023-01-06
APIC,Pacific Strategic Financial Tb,2002-12-18,11766313488.0,Pengembangan,Financials,1120,13178271106560.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2002-12-18,2023-01-06
APII,Arita Prima Indonesia Tbk.,2013-10-29,1075760000.0,Pengembangan,Industrials,199,214076240000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2013-10-29,2023-01-06
APLI,Asiaplast Industries Tbk.,2000-05-01,1362671400.0,Utama,Basic Materials,260,354294564000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
APLN,Agung Podomoro Land Tbk.,2010-11-11,22699326779.0,Utama,Properties & Real Estate,143,3246003729397.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2010-11-11,2023-01-06
ARCI,Archi Indonesia Tbk.,2021-06-28,24835000000.0,Utama,Basic Materials,330,8195550000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2021-06-28 09:00:00,2023-01-06 15:00:00,2021-06-28,2023-01-06
ARGO,Argo Pantes Tbk,1991-01-07,335557450.0,Pengembangan,Consumer Cyclicals,1275,427835748750.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
ARII,Atlas Resources Tbk.,2011-11-08,3131000000.0,Pengembangan,Energy,264,826584000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2011-11-08,2023-01-06
ARKA,Arkha Jayanti Persada Tbk.,2019-07-10,2000000000.0,Pengembangan,Industrials,50,100000000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2019-07-10,2023-01-06
ARKO,Arkora Hydro Tbk.,2022-07-08,2928495000.0,Pengembangan,Infrastructures,565,1654599675000.0,2022-07-08 09:00:00,2023-01-06 15:59:00,2022-07-08 09:00:00,2023-01-06 15:00:00,2022-07-08,2023-01-06
ARMY,Armidian Karyatama Tbk.,2017-06-21,9006250000.0,Pengembangan,Properties & Real Estate,50,450312500000.0,,,,,2017-06-21,2023-01-06
ARNA,Arwana Citramulia Tbk.,2001-07-17,7341430976.0,Utama,Industrials,1000,7341430976000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-07-17,2023-01-06
ARTA,Arthavest Tbk,2002-11-05,446674175.0,Pengembangan,Consumer Cyclicals,2090,933549025750.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2002-11-05,2023-01-06
ARTI,Ratu Prabu Energi Tbk,2003-04-30,7840000000.0,Utama,Energy,50,392000000000.0,2021-11-01 09:00:00,2021-12-03 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2003-04-30,2023-01-06
ARTO,Bank Jago Tbk.,2016-01-12,13717687500.0,Pengembangan,Financials,3060,41976123750000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2016-01-12,2023-01-06
ASBI,Asuransi Bintang Tbk.,1989-11-29,348386472.0,Pengembangan,Financials,498,173496463056.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
ASDM,Asuransi Dayin Mitra Tbk.,1989-12-15,192000000.0,Utama,Financials,930,178560000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
ASGR,Astra Graphia Tbk.,1989-11-15,1348780500.0,Utama,Industrials,930,1254365865000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
ASHA,Cilacap Samudera Fishing Indus,2022-05-27,5000000000.0,Pengembangan,Consumer Non-Cyclicals,71,355000000000.0,2022-06-06 09:00:00,2023-01-06 15:59:00,2022-05-30 09:00:00,2023-01-06 15:00:00,2022-05-27,2023-01-06
ASII,Astra International Tbk.,1990-04-04,40483553140.0,Utama,Industrials,5450,220635364613000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
ASJT,Asuransi Jasa Tania Tbk.,2003-12-23,1288890696.0,Pengembangan,Financials,125,161111337000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2003-12-23,2023-01-06
ASLC,Autopedia Sukses Lestari Tbk.,2022-01-25,12746354780.0,Pengembangan,Consumer Cyclicals,111,1414845380580.0,2022-01-25 09:00:00,2023-01-06 15:59:00,2022-01-25 09:00:00,2023-01-06 15:00:00,2022-01-25,2023-01-06
ASMI,Asuransi Maximus Graha Persada,2014-01-16,8958380460.0,Utama,Financials,102,913754806920.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2014-01-16,2023-01-06
ASPI,Andalan Sakti Primaindo Tbk.,2020-02-17,681794825.0,Pengembangan,Properties & Real Estate,90,61361534250.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2020-02-17,2023-01-06
ASRI,Alam Sutera Realty Tbk.,2007-12-18,19649411888.0,Utama,Properties & Real Estate,153,3006360018864.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2007-12-18,2023-01-06
ASRM,Asuransi Ramayana Tbk.,1990-03-19,304283840.0,Pengembangan,Financials,1625,494461240000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
ASSA,Adi Sarana Armada Tbk.,2012-11-12,3565786162.0,Utama,Transportation & Logistic,730,2603023898260.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2012-11-12,2023-01-06
ATAP,Trimitra Prawara Goldland Tbk.,2020-12-11,1250000000.0,Pengembangan,Properties & Real Estate,76,95000000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-12-11 09:00:00,2023-01-06 15:00:00,2020-12-11,2023-01-06
ATIC,Anabatic Technologies Tbk.,2015-07-08,2315361355.0,Utama,Technology,386,893729483030.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2015-07-08,2023-01-06
AUTO,Astra Otoparts Tbk.,1998-06-15,4819733000.0,Utama,Consumer Cyclicals,1400,6747626200000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
AVIA,Avia Avian Tbk.,2021-12-08,61953555600.0,Utama,Basic Materials,625,38720972250000.0,2021-12-08 09:00:00,2023-01-06 15:59:00,2021-12-08 09:00:00,2023-01-06 15:00:00,2021-12-08,2023-01-06
AXIO,Tera Data Indonusa Tbk.,2022-07-20,5840126500.0,Pengembangan,Technology,236,1378269854000.0,2022-07-20 09:00:00,2023-01-06 15:59:00,2022-07-20 09:00:00,2023-01-06 15:00:00,2022-07-20,2023-01-06
AYLS,Agro Yasa Lestari Tbk.,2020-02-12,853423236.0,Pengembangan,Basic Materials,86,73394398296.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2020-02-12,2023-01-06
BABP,Bank MNC Internasional Tbk.,2002-07-15,31068563770.0,Pengembangan,Financials,98,3044719249460.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2002-07-15,2023-01-06
BACA,Bank Capital Indonesia Tbk.,2007-10-04,7007631839.0,Pengembangan,Financials,130,910992139070.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2007-10-04,2023-01-06
BAJA,Saranacentral Bajatama Tbk.,2011-12-21,1800000000.0,Pengembangan,Basic Materials,121,217800000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2011-12-21,2023-01-06
BALI,Bali Towerindo Sentra Tbk.,2014-03-13,3934592500.0,Utama,Infrastructures,790,3108328075000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2014-03-13,2023-01-06
BANK,Bank Aladin Syariah Tbk.,2021-02-01,13134311698.0,Pengembangan,Financials,1325,17402962999850.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2021-02-01 09:00:00,2023-01-06 15:00:00,2021-02-01,2023-01-06
BAPA,Bekasi Asri Pemula Tbk.,2008-01-14,661784520.0,Utama,Properties & Real Estate,86,56913468720.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2008-01-14,2023-01-06
BAPI,Bhakti Agung Propertindo Tbk.,2019-09-16,5591752986.0,Pengembangan,Properties & Real Estate,50,279587649300.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2019-09-16,2023-01-06
BATA,Sepatu Bata Tbk.,1982-03-24,1300000000.0,Utama,Consumer Cyclicals,540,702000000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BAUT,Mitra Angkasa Sejahtera Tbk.,2022-01-28,4800000000.0,Pengembangan,Consumer Cyclicals,50,240000000000.0,2022-01-28 09:00:00,2023-01-06 15:59:00,2022-01-28 09:00:00,2023-01-06 15:00:00,2022-01-28,2023-01-06
BAYU,Bayu Buana Tbk,1989-10-30,353220780.0,Pengembangan,Consumer Cyclicals,990,349688572200.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BBCA,Bank Central Asia Tbk.,2000-05-31,122042299500.0,Utama,Financials,8300,1012951085850000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BBHI,Allo Bank Indonesia Tbk.,2015-08-12,21512953877.0,Pengembangan,Financials,1695,36464456821515.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2015-08-12,2023-01-06
BBKP,Bank KB Bukopin Tbk.,2006-07-10,67019885160.0,Utama,Financials,114,7640266908240.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2006-07-10,2023-01-06
BBLD,Buana Finance Tbk.,1990-05-07,1645796054.0,Pengembangan,Financials,625,1028622533750.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BBMD,Bank Mestika Dharma Tbk.,2013-07-08,4049189100.0,Utama,Financials,2070,8381821437000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2013-07-08,2023-01-06
BBNI,Bank Negara Indonesia (Persero,1996-11-25,18462169893.0,Utama,Financials,8900,164313312047700.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BBRI,Bank Rakyat Indonesia (Persero,2003-11-10,150043411587.0,Utama,Financials,4620,693200561531940.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2003-11-10,2023-01-06
BBRM,Pelayaran Nasional Bina Buana ,2013-01-09,8479490328.0,Utama,Energy,57,483330948696.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2013-01-09,2023-01-06
BBSI,Bank Bisnis Internasional Tbk.,2020-09-07,3274178463.0,Pengembangan,Financials,3040,9953502527520.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-09-07 09:00:00,2023-01-06 15:00:00,2020-09-07,2023-01-06
BBSS,Bumi Benowo Sukses Sejahtera T,2020-04-15,4800016020.0,Pengembangan,Properties & Real Estate,62,297600993240.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2022-04-18 09:00:00,2023-01-06 15:00:00,2020-04-15,2023-01-06
BBTN,Bank Tabungan Negara (Persero),2009-12-17,10484100000.0,Utama,Financials,1340,14048694000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2009-12-17,2023-01-06
BBYB,Bank Neo Commerce Tbk.,2015-01-13,9327465018.0,Utama,Financials,615,5736390986070.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2015-01-13,2023-01-06
BCAP,MNC Kapital Indonesia Tbk.,2001-06-08,42618850927.0,Utama,Financials,74,3153794968598.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-06-08,2023-01-06
BCIC,Bank JTrust Indonesia Tbk.,1997-06-25,13996806290.0,Pengembangan,Financials,180,2519425132200.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BCIP,Bumi Citra Permai Tbk.,2009-12-11,1429915525.0,Pengembangan,Properties & Real Estate,71,101524002275.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2009-12-11,2023-01-06
BDMN,Bank Danamon Indonesia Tbk.,1989-12-06,9675817341.0,Utama,Financials,2620,25350641433420.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BEBS,Berkah Beton Sadaya Tbk.,2021-03-10,9000000000.0,Pengembangan,Basic Materials,770,6930000000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2021-03-10 09:00:00,2023-01-06 15:00:00,2021-03-10,2023-01-06
BEEF,Estika Tata Tiara Tbk.,2019-01-10,1884312595.0,Pengembangan,Consumer Non-Cyclicals,60,113058755700.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2019-01-10,2023-01-06
BEER,Jobubu Jarum Minahasa Tbk.,2023-01-06 00:00:00,4000000000.0,Pengembangan,Consumer Non-Cyclicals,258,1032000000000.0,2023-01-06 09:00:00,2023-01-06 15:59:00,2023-01-06 09:00:00,2023-01-06 15:00:00,2023-01-06,2023-01-06
BEKS,Bank Pembangunan Daerah Banten,2001-07-13,51351733883.0,Pengembangan,Financials,50,2567586694150.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-07-13,2023-01-06
BELI,Global Digital Niaga Tbk.,2022-11-08 00:00:00,118474705740.0,Utama,Technology,460,54498364640400.0,2022-11-08 09:00:00,2023-01-06 15:59:00,2022-11-08 09:00:00,2023-01-06 15:00:00,2022-11-09,2023-01-06
BELL,Trisula Textile Industries Tbk,2017-10-03,7250000000.0,Pengembangan,Consumer Cyclicals,137,993250000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2017-10-03,2023-01-06
BESS,Batulicin Nusantara Maritim Tb,2020-03-09,3412610636.0,Pengembangan,Energy,168,573318586848.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2020-03-09,2023-01-06
BEST,Bekasi Fajar Industrial Estate,2012-04-10,9647311150.0,Utama,Properties & Real Estate,128,1234855827200.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2012-04-10,2023-01-06
BFIN,BFI Finance  Indonesia Tbk.,1990-05-16,15967115620.0,Utama,Financials,1070,17084813713400.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BGTG,Bank Ganesha Tbk.,2016-05-12,16303371203.0,Pengembangan,Financials,87,1418393294661.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2016-05-12,2023-01-06
BHAT,Bhakti Multi Artha Tbk.,2020-04-15,5000000000.0,Pengembangan,Financials,820,4100000000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2022-04-18 09:00:00,2023-01-06 15:00:00,2020-04-15,2023-01-06
BHIT,MNC Investama Tbk.,1997-11-24,86068156705.0,Utama,Industrials,57,4905884932185.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
BIKA,Binakarya Jaya Abadi Tbk.,2015-07-14,592280000.0,Pengembangan,Properties & Real Estate,95,56266600000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2015-07-14,2023-01-06
